Reporting Date;Marketing Team;Marketing Program;# Prospects;# Marketing Qualified Prospects;# Demo Prospects;# Sales Qualified Opportunities;# Opportunities Won;$ Cost;# Impressions;# Clicks
26/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
26/06/2025;paid;abm;1;0;0;0;0;$20,298;503922;878
26/06/2025;social;social;2;0;0;1;0;$0;0;0
26/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
26/06/2025;paid;paid_sponsorship;34;93;0;0;0;$12,637;5604;962
26/06/2025;paid;paid_brand_search;62;123;72;60;4;$113,627;49388;7670
26/06/2025;content;webinar;4;0;0;1;0;$0;0;0
26/06/2025;lifecycle;customer_braze_communications;4;12;0;3.8;0;$0;0;0
26/06/2025;content;content;78;29;13;12.1;3;$0;0;0
26/06/2025;paid;listicle_leadbuy_listing;20;12;4;3;0;$89,791;1487562;460
25/06/2025;regional;regional;10;6;4;1;0;$0;0;0
25/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
25/06/2025;lifecycle;customer_braze_communications;0;4;0;0;0;$0;0;0
25/06/2025;event;event;4;13;10;2;0;$0;0;0
25/06/2025;paid;paid_brand_search;81;39;39;23;7;$332,431;49738;11667
25/06/2025;social;social;1;0;6;2;0;$0;0;0
25/06/2025;content;content;82;50;34;5;3;$0;0;0
25/06/2025;paid;paid_social;240;80;20;15;0;$82,241;14185318;25331
25/06/2025;paid;paid_awareness;0;0;0;0;0;$42,974;401256;1203
25/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
25/06/2025;content;webinar;2;0;3;0;1;$0;0;0
25/06/2025;website;website;126;40;7;0;0;$0;0;0
25/06/2025;paid;paid_search;286;234;78;43.5;10;$331,532;892319;17949
25/06/2025;paid;listicle_leadbuy_listing;63;48;6;6;0;$14,773;1669935;729
25/06/2025;paid;paid_sponsorship;40;81;0;0;0;$15,212;23688;1977
25/06/2025;lifecycle;prospect_email;36;27;10;6;2;$0;0;0
25/06/2025;paid;abm;0;0;0;0;0;$33,537;499515;934
24/06/2025;content;content;70;48;42;16;5;$0;0;0
24/06/2025;paid;paid_brand_search;68;40;24;26;12.3;$115,307;74304;3740
24/06/2025;paid;abm;2;0;0;0;0;$32,226;174202;854
24/06/2025;paid;paid_awareness;0;0;0;0;0;$12,789;1080738;1163
24/06/2025;website;website;70;35;10;4;0;$0;0;0
24/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
24/06/2025;lifecycle;customer_braze_communications;0;1;1;3.8;0.9;$0;0;0
24/06/2025;paid;paid_search;384;186;69;16;4;$459,431;3783654;36838
24/06/2025;regional;regional;1;48;9;0;0;$0;0;0
24/06/2025;paid;paid_social;267;182;20;6;0;$157,907;15276058;29097
24/06/2025;paid;listicle_leadbuy_listing;9;20;33;6;0;$27,613;1174844;204
24/06/2025;lifecycle;prospect_email;75;26;8;3;0;$0;0;0
24/06/2025;content;webinar;0;0;1;1;0;$0;0;0
24/06/2025;paid;paid_sponsorship;75;74;0;0;0;$20,616;18696;1452
24/06/2025;social;social;1;3;3;0;0;$0;0;0
24/06/2025;event;event;8;2;6;6;0;$0;0;0
24/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
23/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
23/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
23/06/2025;paid;paid_social;146;67;16;8;0;$77,946;23964555;92589
23/06/2025;social;social;6;6;6;2;0;$0;0;0
23/06/2025;event;event;9;2;4;1;0;$0;0;0
23/06/2025;content;webinar;3;3;0;0;0;$0;0;0
23/06/2025;paid;paid_awareness;0;0;0;0;0;$30,363;853792;1115
23/06/2025;paid;paid_brand_search;78;64;60;49.5;6;$122,746;53092;4126
23/06/2025;lifecycle;customer_braze_communications;1;6;0;0;0;$0;0;0
23/06/2025;paid;listicle_leadbuy_listing;36;44;8;6;2;$24,275;1136592;338
23/06/2025;regional;regional;62;4;15;0;0;$0;0;0
23/06/2025;paid;abm;0;0;0;0;0;$15,812;321448;381
23/06/2025;content;content;37;90;48;8.8;4;$0;0;0
23/06/2025;paid;paid_search;157;360;28;15;2;$443,933;2554005;31726
23/06/2025;website;website;26;30;4;1.5;0;$0;0;0
23/06/2025;paid;paid_sponsorship;1;4;1;0;0;$0;0;0
23/06/2025;lifecycle;prospect_email;13;10;8;11.4;2;$0;0;0
22/06/2025;lifecycle;customer_braze_communications;0;0;0;0;0;$0;0;0
22/06/2025;content;webinar;0;0;0;0;0;$0;0;0
22/06/2025;paid;abm;0;1;0;0;0;$10,640;157721;948
22/06/2025;paid;paid_awareness;0;0;0;0;0;$37,166;353056;1410
22/06/2025;paid;paid_brand_search;10;14;6;2;1;$33,163;6969;2604
22/06/2025;paid;listicle_leadbuy_listing;2;2;0;0;0;$11,778;248466;73
22/06/2025;content;content;15;20;3;4;0;$0;0;0
22/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
22/06/2025;regional;regional;2;1;0;0;0;$0;0;0
22/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
22/06/2025;event;event;0;0;0;0;0;$0;0;0
22/06/2025;social;social;1;2;0;0;0;$0;0;0
22/06/2025;paid;paid_sponsorship;0;0;0;0;0;$0;0;0
22/06/2025;paid;paid_social;75;228;0;0;0;$121,381;23540097;32389
22/06/2025;website;website;7;27;3;0;0;$0;0;0
22/06/2025;lifecycle;prospect_email;13;24;0;0;0;$0;0;0
22/06/2025;paid;paid_search;34;39;2;1;0;$58,724;491012;14910
21/06/2025;paid;paid_search;14;4;2;0;0;$10,802;539934;5438
21/06/2025;lifecycle;prospect_email;0;2;0;0;0;$0;0;0
21/06/2025;social;social;0;0;0;0;0;$0;0;0
21/06/2025;content;content;32;11;0;0;2;$0;0;0
21/06/2025;paid;abm;0;0;0;0;0;$6,673;313845;1182
21/06/2025;event;event;0;0;0;0;0;$0;0;0
21/06/2025;regional;regional;4;1;0;0;0;$0;0;0
21/06/2025;paid;paid_awareness;0;0;0;0;0;$24,930;1043853;403
21/06/2025;lifecycle;customer_braze_communications;0;0;0;0;0;$0;0;0
21/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
21/06/2025;content;webinar;0;0;0;0;0;$0;0;0
21/06/2025;paid;paid_social;213;60;1;0;0;$100,027;4922473;58764
21/06/2025;website;website;30;22;0;0;0;$0;0;0
21/06/2025;paid;listicle_leadbuy_listing;2;2;3;0;0;$10,548;412359;288
21/06/2025;paid;paid_brand_search;5;14;0;0;2;$35,885;5182;1616
21/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
21/06/2025;paid;paid_sponsorship;0;2;0;0;0;$0;0;0
20/06/2025;paid;paid_awareness;0;0;0;0;0;$24,453;432242;3012
20/06/2025;website;website;17;40;24;3;0;$0;0;0
20/06/2025;content;content;70;75;20;6;6;$0;0;0
20/06/2025;social;social;2;2;1;0;0;$0;0;0
20/06/2025;regional;regional;200;582;4;0;0;$0;0;0
20/06/2025;lifecycle;customer_braze_communications;0;1;0;1;0;$0;0;0
20/06/2025;paid;paid_brand_search;87;93;56;36;5;$253,474;41254;6378
20/06/2025;paid;abm;3;0;0;0;0;$8,097;96814;1338
20/06/2025;content;webinar;0;0;1;0;0;$0;0;0
20/06/2025;lifecycle;prospect_email;8;7;12;9;0;$0;0;0
20/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
20/06/2025;paid;paid_sponsorship;0;1;3;0;0;$0;0;0
20/06/2025;paid;paid_search;285;72;105;22;1;$276,462;1343390;15197
20/06/2025;event;event;2;3;18;3;0;$0;0;0
20/06/2025;paid;listicle_leadbuy_listing;9;10;9;15;2;$18,753;487713;450
20/06/2025;paid;paid_social;204;201;27;0;0;$238,559;17194974;64914
20/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
19/06/2025;event;event;24;27;22;0;0;$11,111;0;0
19/06/2025;paid;paid_awareness;0;0;0;0;0;$13,218;352431;2988
19/06/2025;social;social;0;0;2;0;0;$0;0;0
19/06/2025;paid;paid_social;234;116;22;2;1;$159,487;25990665;96834
19/06/2025;paid;abm;2;3;0;0;0;$7,040;69263;392
19/06/2025;lifecycle;customer_braze_communications;6;2;2;1;0;$0;0;0
19/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
19/06/2025;paid;listicle_leadbuy_listing;54;9;9;2;1;$18,111;533105;213
19/06/2025;paid;paid_brand_search;76;37;70;38;6;$168,601;42342;3218
19/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
19/06/2025;paid;paid_search;454;110;87;6.5;4;$293,396;1639338;15446
19/06/2025;paid;paid_sponsorship;6;0;0;0;0;$0;0;0
19/06/2025;content;content;39;24;18;24;4;$0;0;0
19/06/2025;website;website;54;57;15;0;0;$0;0;0
19/06/2025;content;webinar;0;0;0;0.5;0;$0;0;0
19/06/2025;regional;regional;56;336;6;0;0;$0;0;0
19/06/2025;lifecycle;prospect_email;11;9;7;1.5;0;$0;0;0
18/06/2025;regional;regional;118;64;10;3;0;$0;0;0
18/06/2025;website;website;74;114;27;0;0;$0;0;0
18/06/2025;event;event;8316;63;18;0;0.9;$32,783;0;0
18/06/2025;paid;paid_brand_search;68;43;31;30;7.5;$118,176;72489;11196
18/06/2025;content;content;59;33;6;5.5;0;$0;0;0
18/06/2025;lifecycle;website;0;0;0;0;0;$0;0;0
18/06/2025;lifecycle;regional;0;0;0;0;0;$0;0;0
18/06/2025;paid;paid_search;750;120;105;36;10;$168,722;726893;48315
18/06/2025;paid;paid_sponsorship;6;1;0;0;0;$0;0;0
18/06/2025;lifecycle;prospect_email;80;20;12;4.5;1.5;$0;0;0
18/06/2025;social;social;0;0;6;0;0;$0;0;0
18/06/2025;paid;paid_social;420;79;13;6;9;$247,948;26206653;65192
18/06/2025;paid;paid_awareness;0;0;0;0;0;$8,717;354156;2895
18/06/2025;lifecycle;customer_braze_communications;15;2;0;4.5;1.2;$0;0;0
18/06/2025;paid;abm;3;0;0;0;0;$12,074;119625;342
18/06/2025;content;webinar;2;3;1;0;0;$0;0;0
18/06/2025;paid;listicle_leadbuy_listing;30;10;9;1.5;0;$35,368;1706619;585
17/06/2025;social;social;0;0;1;0;0;$0;0;0
17/06/2025;lifecycle;customer_braze_communications;0;15;3;1.3;1.6;$0;0;0
17/06/2025;website;website;29;261;21;1.5;0;$0;0;0
17/06/2025;paid;abm;0;0;0;0;0;$17,648;79918;664
17/06/2025;paid;paid_other;0;0;0;0;0;$0;0;0
17/06/2025;regional;regional;6;9;4;0;0;$0;0;0
17/06/2025;paid;paid_awareness;0;0;0;0;0;$4,438;239644;3048
17/06/2025;event;event;826;9;18;1;2;$0;0;0
17/06/2025;content;webinar;0;12;0;0;0;$0;0;0
17/06/2025;paid;paid_brand_search;50;31;30;14;19.5;$318,493;23777;11367
17/06/2025;paid;listicle_leadbuy_listing;22;51;12;6;0;$15,145;556850;424
17/06/2025;paid;paid_sponsorship;2;2;3;0;0;$0;0;0
17/06/2025;lifecycle;prospect_email;8;11;24;6;4;$0;0;0
17/06/2025;paid;paid_social;176;74;24;1;1;$166,068;27657684;26232
17/06/2025;paid;paid_search;279;266;48;42.9;15.6;$180,834;1741030;31310
17/06/2025;paid;ooh;0;0;0;0;0;$0;0;0
17/06/2025;content;content;22;30;18;43.5;5;$0;0;0
16/06/2025;event;event;3;1;8;6;2;$0;0;0
16/06/2025;social;social;0;0;0;0;0;$0;0;0
16/06/2025;paid;listicle_leadbuy_listing;3;12;18;3;2;$27,282;1083600;182
16/06/2025;paid;ooh;0;0;0;0;0;$0;0;0
16/06/2025;paid;abm;0;0;0;0;0;$17,457;98862;760
16/06/2025;regional;regional;12;2;3;0;0;$0;0;0
16/06/2025;content;content;5;48;8;30.6;3.2;$0;0;0
16/06/2025;paid;paid_search;51;131;26;26;6;$364,421;2569962;32164
16/06/2025;website;website;102;9;7;0;0;$0;0;0
16/06/2025;lifecycle;customer_braze_communications;0;3;1;0;2.1;$0;0;0
16/06/2025;paid;paid_other;0;0;0;0;0;$0;0;0
16/06/2025;paid;paid_brand_search;96;111;66;21.3;5.8;$124,544;23976;7544
16/06/2025;paid;paid_sponsorship;2;2;2;0;0;$0;0;0
16/06/2025;lifecycle;prospect_email;9;7;4;2;3;$0;0;0
16/06/2025;paid;paid_social;13;144;24;10;0;$156,165;17764980;50160
16/06/2025;paid;paid_awareness;0;0;0;3;0;$8,962;121234;923
16/06/2025;content;webinar;2;2;0;0;0;$0;0;0
15/06/2025;paid;paid_search;18;30;3;1.5;0;$18,691;363796;4840
15/06/2025;paid;paid_awareness;0;0;0;0;0;$7,041;465186;862
15/06/2025;paid;listicle_leadbuy_listing;0;0;0;0;0;$21,800;238036;296
15/06/2025;website;website;13;2;2;0;0;$0;0;0
15/06/2025;lifecycle;customer_braze_communications;0;0;0;0;0;$0;0;0
15/06/2025;paid;paid_other;0;0;0;0;0;$0;0;0
15/06/2025;regional;regional;0;0;0;0;0;$0;0;0
15/06/2025;social;social;0;0;0;0;0;$0;0;0
15/06/2025;event;event;0;1;0;0;0;$0;0;0
15/06/2025;paid;ooh;0;0;0;0;0;$0;0;0
15/06/2025;paid;paid_social;14;42;0;0;0;$197,087;15687918;69360
15/06/2025;paid;paid_brand_search;4;10;3;2;0;$35,796;14811;2181
15/06/2025;paid;paid_sponsorship;0;0;0;0;0;$0;0;0
15/06/2025;paid;abm;0;0;0;0;0;$10,443;290186;370
15/06/2025;content;webinar;0;0;0;0;0;$0;0;0
15/06/2025;content;content;0;6;0;6;3;$0;0;0
15/06/2025;lifecycle;prospect_email;0;0;3;1.5;0;$0;0;0
14/06/2025;website;website;11;12;0;0;0;$0;0;0
14/06/2025;regional;regional;0;0;0;0;0;$0;0;0
14/06/2025;paid;listicle_leadbuy_listing;2;6;3;0;0;$8,869;279174;130
14/06/2025;paid;paid_social;30;276;0;0;0;$116,545;14986017;33124
14/06/2025;lifecycle;customer_braze_communications;0;0;0;0;0;$0;0;0
14/06/2025;event;event;0;2;0;0;0;$0;0;0
14/06/2025;paid;paid_sponsorship;0;3;0;0;0;$0;0;0
14/06/2025;social;social;2;2;0;0;0;$0;0;0
14/06/2025;paid;paid_other;0;0;0;0;0;$0;0;0
14/06/2025;paid;paid_awareness;0;0;0;0;0;$19,214;989451;1230
14/06/2025;paid;ooh;0;0;0;0;0;$0;0;0
14/06/2025;content;webinar;0;0;0;3;0;$0;0;0
14/06/2025;paid;paid_brand_search;14;10;6;0;0;$31,517;5519;2460
14/06/2025;lifecycle;prospect_email;3;2;0;0;0;$0;0;0
14/06/2025;paid;abm;0;2;0;0;0;$13,698;192402;414
14/06/2025;content;content;0;4;0;2;0;$0;0;0
14/06/2025;paid;paid_search;12;5;0;0;0;$27,111;332526;3102
13/06/2025;paid;abm;0;0;0;0;0;$24,501;395392;848
13/06/2025;paid;paid_social;100;306;24;9;0;$178,453;17614918;24301
13/06/2025;lifecycle;prospect_email;12;14;12;8;0;$0;0;0
13/06/2025;regional;regional;3;0;4;2;0;$0;0;0
13/06/2025;paid;paid_brand_search;78;32;66;64.5;4;$94,338;41560;3121
13/06/2025;social;social;4;2;0;0;0;$0;0;0
13/06/2025;content;webinar;0;0;2;0;0;$0;0;0
13/06/2025;website;website;22;60;7;6;0;$0;0;0
13/06/2025;paid;listicle_leadbuy_listing;33;36;21;6;4;$17,650;1017842;130
13/06/2025;paid;ooh;0;0;0;0;0;$0;0;0
13/06/2025;lifecycle;customer_braze_communications;3;9;3;0;1;$0;0;0
13/06/2025;paid;paid_awareness;0;0;0;0;0;$19,544;988107;1018
13/06/2025;paid;paid_other;0;0;0;0;0;$0;0;0
13/06/2025;content;content;25;22;10;20;0;$0;0;0
13/06/2025;paid;paid_sponsorship;4;0;0;0;0;$0;0;0
13/06/2025;paid;paid_search;312;87;21;20.5;12;$130,067;3116511;45180
13/06/2025;event;event;21;2;18;1;0;$0;0;0
12/06/2025;paid;paid_social;270;378;20;3.9;0;$92,523;26343213;70635
12/06/2025;lifecycle;customer_braze_communications;0;10;0;5.8;2.8;$0;0;0
12/06/2025;social;social;0;0;0;0;0;$0;0;0
12/06/2025;event;event;38;20;10;6;0;$0;0;0
12/06/2025;paid;paid_brand_search;102;48;84;24;5;$310,119;22913;6872
12/06/2025;paid;paid_search;495;124;123;28;2;$324,805;2203368;33884
12/06/2025;content;content;68;50;14;12;2.5;$0;0;0
12/06/2025;lifecycle;prospect_email;20;22;3;1;1;$0;0;0
12/06/2025;paid;paid_sponsorship;50;3;0;0;0;$0;0;0
12/06/2025;paid;paid_awareness;0;0;0;0;0;$20,501;1051806;1080
12/06/2025;content;webinar;0;0;3;0;0;$0;0;0
12/06/2025;paid;abm;6;6;0;0;0;$17,488;607893;429
12/06/2025;paid;ooh;0;0;0;0;0;$0;0;0
12/06/2025;paid;paid_other;0;0;0;0;0;$0;0;0
12/06/2025;paid;listicle_leadbuy_listing;20;36;10;2;0;$11,465;1748259;192
12/06/2025;website;website;7;14;5;3;0;$0;0;0
12/06/2025;regional;regional;15;5;7;0;0;$0;0;0
11/06/2025;regional;regional;81;2;2;0;0;$0;0;0
11/06/2025;content;content;34;87;17;9;4;$0;0;0
11/06/2025;paid;abm;2;3;2;0;0;$8,660;203565;1422
11/06/2025;paid;paid_brand_search;87;88;96;33;9;$213,950;23611;3588
11/06/2025;paid;paid_search;468;250;102;32;4;$156,798;1661692;54612
11/06/2025;paid;paid_other;0;0;0;0;0;$0;0;0
11/06/2025;paid;paid_social;267;170;16;0;0;$164,427;16596350;22054
11/06/2025;social;social;12;10;0;0;0;$0;0;0
11/06/2025;content;webinar;1;0;3;0;0;$0;0;0
11/06/2025;paid;listicle_leadbuy_listing;13;57;9;4;0;$29,838;1716984;185
11/06/2025;lifecycle;customer_braze_communications;6;4;0;9.9;3.8;$0;0;0
11/06/2025;event;event;318;526;16;12;0;$743,886;0;0
11/06/2025;paid;ooh;0;0;0;0;0;$0;0;0
11/06/2025;lifecycle;prospect_email;4;13;10;2.7;2.7;$0;0;0
11/06/2025;paid;paid_awareness;0;0;0;0;0;$30,266;1041477;3558
11/06/2025;paid;paid_sponsorship;100;30;0;0;0;$7,606;24153;2049
11/06/2025;website;website;108;37;11;2;0;$0;0;0
10/06/2025;paid;paid_awareness;0;0;0;0;0;$9,934;313457;3309
10/06/2025;paid;listicle_leadbuy_listing;34;34;8;4;0;$26,115;603854;666
10/06/2025;paid;abm;2;0;0;0;0;$26,499;201356;1131
10/06/2025;lifecycle;customer_braze_communications;3;8;1;5.6;0.7;$0;0;0
10/06/2025;event;event;18;26;14;2.6;0;$0;0;0
10/06/2025;website;website;72;24;14;4.5;0;$0;0;0
10/06/2025;lifecycle;prospect_email;27;18;6;9;1;$0;0;0
10/06/2025;paid;paid_other;0;0;0;0;0;$0;0;0
10/06/2025;paid;paid_social;17;26;4;6;2;$64,027;14702164;39854
10/06/2025;paid;paid_brand_search;30;74;75;54;20;$216,611;73173;3879
10/06/2025;paid;paid_search;306;260;43;8.5;3.9;$485,734;4958730;32512
10/06/2025;paid;ooh;0;0;0;0;0;$0;0;0
10/06/2025;content;webinar;0;1;1;1;0;$0;0;0
10/06/2025;regional;regional;4;18;5;3;0;$0;0;0
10/06/2025;content;content;64;33;69;14;3;$0;0;0
10/06/2025;social;social;10;4;0;0;0;$0;0;0
10/06/2025;paid;paid_sponsorship;15;2;2;0;0;$0;0;0
09/06/2025;paid;paid_brand_search;69;25;24;21.7;0;$280,722;19894;6120
09/06/2025;paid;abm;3;9;2;0;0;$16,302;201111;362
09/06/2025;event;event;1692;4;12;0;3;$0;0;0
09/06/2025;content;content;96;81;30;23;2.5;$0;0;0
09/06/2025;website;website;48;28;24;0;0;$0;0;0
09/06/2025;paid;paid_social;28;11;3;10;0;$121,822;14328068;39896
09/06/2025;regional;regional;6;2;3;0;0;$0;0;0
09/06/2025;lifecycle;customer_braze_communications;2;0;2;3.6;1;$0;0;0
09/06/2025;content;webinar;3;1;2;0;0;$0;0;0
09/06/2025;lifecycle;prospect_email;12;8;8;6;2;$0;0;0
09/06/2025;paid;listicle_leadbuy_listing;42;24;9;7.5;0;$9,663;1789269;417
09/06/2025;paid;paid_search;414;115;81;13;2;$402,180;1425639;33160
09/06/2025;paid;paid_sponsorship;3;2;0;0;2;$0;0;0
09/06/2025;social;social;2;0;3;0;0;$0;0;0
09/06/2025;paid;paid_awareness;0;0;0;0;0;$30,022;810054;3168
09/06/2025;paid;ooh;0;0;0;0;0;$0;0;0
09/06/2025;paid;paid_other;0;0;0;0;0;$0;0;0
08/06/2025;content;webinar;0;0;0;0;0;$0;0;0
08/06/2025;lifecycle;prospect_email;2;8;0;0;0;$0;0;0
08/06/2025;social;social;2;1;0;0;0;$0;0;0
08/06/2025;paid;abm;0;0;0;0;0;$18,449;193503;332
08/06/2025;paid;paid_search;39;14;0;0;0;$19,479;155035;4207
08/06/2025;paid;paid_brand_search;22;13;1;4;0;$43,389;4564;1268
08/06/2025;event;event;0;6;0;2;0;$0;0;0
08/06/2025;content;content;26;8;0;2;0;$0;0;0
08/06/2025;lifecycle;customer_braze_communications;0;2;0;0;0;$0;0;0
08/06/2025;paid;paid_other;0;0;0;0;0;$0;0;0
08/06/2025;website;website;16;16;0;0;0;$0;0;0
08/06/2025;paid;paid_sponsorship;0;2;0;0;0;$0;0;0
08/06/2025;paid;paid_social;54;46;0;0;0;$70,768;5755415;33392
08/06/2025;paid;paid_awareness;0;0;0;0;0;$19,656;367004;1041
08/06/2025;regional;regional;6;10;0;0;0;$0;0;0
08/06/2025;paid;ooh;0;0;0;0;0;$0;0;0
08/06/2025;paid;listicle_leadbuy_listing;6;6;0;0;0;$5,347;263198;83
07/06/2025;paid;abm;3;6;0;0;0;$20,619;369056;780
07/06/2025;paid;paid_brand_search;8;10;0;3;0;$37,852;5316;693
07/06/2025;lifecycle;prospect_email;1;3;0;0;3;$0;0;0
07/06/2025;content;content;10;21;0;0;0;$0;0;0
07/06/2025;paid;paid_sponsorship;0;0;0;0;0;$0;0;0
07/06/2025;paid;listicle_leadbuy_listing;2;2;0;0;0;$6,120;163715;62
07/06/2025;social;social;6;0;0;0;0;$0;0;0
07/06/2025;lifecycle;customer_braze_communications;0;0;0;0;0;$0;0;0
07/06/2025;content;webinar;0;0;0;0;0;$0;0;0
07/06/2025;website;website;8;24;0;0;0;$0;0;0
07/06/2025;paid;paid_other;0;0;0;0;0;$0;0;0
07/06/2025;paid;paid_awareness;0;0;0;0;0;$15,847;665463;632
07/06/2025;event;event;3;0;0;2;0;$0;0;0
